Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source,Purpose Description,Source Description,Importer Country Name,Exporter Country Name
2017,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,200.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,I,Ara ambiguus,Aves,Psittaciformes,Psittacidae,Ara,US,CR,,,65.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Gardineroseris planulata,Anthozoa,Scleractinia,Agariciidae,Gardineroseris,US,CR,,,13.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Pavona clavus,Anthozoa,Scleractinia,Agariciidae,Pavona,US,CR,,,5.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Pavona gigantea,Anthozoa,Scleractinia,Agariciidae,Pavona,US,CR,,,55.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Pavona varians,Anthozoa,Scleractinia,Agariciidae,Pavona,US,CR,,,5.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Bradypus variegatus,Mammalia,Pilosa,Bradypodidae,Bradypus,US,CR,,,3.0,bones,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Bradypus variegatus,Mammalia,Pilosa,Bradypodidae,Bradypus,US,CR,,,33.0,hair,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Bradypus variegatus,Mammalia,Pilosa,Bradypodidae,Bradypus,US,CR,,,280.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,US,CR,,,1177.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Oophaga pumilio,Amphibia,Anura,Dendrobatidae,Oophaga,US,CR,,,10.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Agalychnis callidryas,Amphibia,Anura,Hylidae,Agalychnis,US,CR,,,6.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Pocillopora spp.,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,US,CR,,,161.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Porites spp.,Anthozoa,Scleractinia,Poritidae,Porites,US,CR,,,26.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Psammocora stellata,Anthozoa,Scleractinia,Siderastreidae,Psammocora,US,CR,,,13.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,III,Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,Choloepus,US,CR,,,5.0,bones,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,III,Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,Choloepus,US,CR,,,96.0,hair,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,III,Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,Choloepus,US,CR,,,452.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,US,CR,,,400.0,leaves,,T,W,Commercial,Specimens taken from the wild.,United States of America,Costa Rica
2017,II,Cacatua leadbeateri,Aves,Psittaciformes,Cacatuidae,Cacatua,US,CR,,,2.0,live,,T,C,Commercial,"Animals bred in captivity in accordance with Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention.",United States of America,Costa Rica
2017,II,Eolophus roseicapilla,Aves,Psittaciformes,Cacatuidae,Eolophus,US,CR,,,1.0,live,,T,C,Commercial,"Animals bred in captivity in accordance with Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention.",United States of America,Costa Rica
2017,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,US,CR,,,21.0,live,,T,C,Commercial,"Animals bred in captivity in accordance with Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention.",United States of America,Costa Rica
2017,II,Amazona aestiva,Aves,Psittaciformes,Psittacidae,Amazona,US,CR,,,1.0,live,,P,C,Personal,"Animals bred in captivity in accordance with Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention.",United States of America,Costa Rica
2017,II,Beaucarnea spp.,,Asparagales,Asparagaceae,Beaucarnea,US,CR,,,553.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Beaucarnea recurvata,,Asparagales,Asparagaceae,Beaucarnea,US,CR,,,120.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas cairnsiana,,Cycadales,Cycadaceae,Cycas,US,CR,,,125.0,live,kg,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas cairnsiana,,Cycadales,Cycadaceae,Cycas,US,CR,,,100.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas circinalis,,Cycadales,Cycadaceae,Cycas,US,CR,,,125.0,live,kg,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas circinalis,,Cycadales,Cycadaceae,Cycas,US,CR,,,5044.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas debaoensis,,Cycadales,Cycadaceae,Cycas,US,CR,,,4.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas panzhihuaensis,,Cycadales,Cycadaceae,Cycas,US,CR,,,4.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas platyphylla,,Cycadales,Cycadaceae,Cycas,US,CR,,,320.0,leaves,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,US,CR,,,80552.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,US,CR,,,97060.0,leaves,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,US,CR,,,2000.0,stems,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Cycas sexseminifera,,Cycadales,Cycadaceae,Cycas,US,CR,,,4.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Dalbergia retusa,,Fabales,Leguminosae,Dalbergia,US,CR,,,0.431,carvings,m3,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Dalbergia retusa,,Fabales,Leguminosae,Dalbergia,US,CR,,,7.54,timber,m3,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Epidendrum spp.,,Orchidales,Orchidaceae,Epidendrum,US,CR,,,3625.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,US,CR,,,275800.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",United States of America,Costa Rica
2017,I,Anodorhynchus hyacinthinus,Aves,Psittaciformes,Psittacidae,Anodorhynchus,US,CR,,,1.0,live,,P,F,Personal,"Animals born in captivity (F1 or subsequent generations) that do not fulfil the definition of 'bred in captivity' in Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof.",United States of America,Costa Rica
2017,I,Ara hybrid,Aves,Psittaciformes,Psittacidae,Ara,US,CR,,,1.0,live,,P,F,Personal,"Animals born in captivity (F1 or subsequent generations) that do not fulfil the definition of 'bred in captivity' in Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof.",United States of America,Costa Rica
2017,II,Ara ararauna,Aves,Psittaciformes,Psittacidae,Ara,US,CR,,,1.0,live,,P,F,Personal,"Animals born in captivity (F1 or subsequent generations) that do not fulfil the definition of 'bred in captivity' in Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof.",United States of America,Costa Rica
2017,II,Ara chloropterus,Aves,Psittaciformes,Psittacidae,Ara,US,CR,,,1.0,live,,P,F,Personal,"Animals born in captivity (F1 or subsequent generations) that do not fulfil the definition of 'bred in captivity' in Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof.",United States of America,Costa Rica
2017,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,ES,CR,,,150.0,specimens,,S,W,Scientific,Specimens taken from the wild.,Spain,Costa Rica
2017,II,Beaucarnea guatemalensis,,Asparagales,Asparagaceae,Beaucarnea,ES,CR,,,500.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Spain,Costa Rica
2017,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,EC,CR,,,133.0,specimens,,S,W,Scientific,Specimens taken from the wild.,Ecuador,Costa Rica
2017,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,NI,CR,,,40.0,specimens,,S,W,Scientific,Specimens taken from the wild.,Nicaragua,Costa Rica
2017,II,Dalbergia retusa,,Fabales,Leguminosae,Dalbergia,NI,CR,,,9.01,sawn wood,m3,T,W,Commercial,Specimens taken from the wild.,Nicaragua,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,NI,CR,,,3300.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Nicaragua,Costa Rica
2017,I,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,IT,CR,,,14.4,specimens,g,S,W,Scientific,Specimens taken from the wild.,Italy,Costa Rica
2017,I,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,IT,CR,,,13.0,specimens,,S,W,Scientific,Specimens taken from the wild.,Italy,Costa Rica
2017,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,IT,CR,,,28.8,specimens,g,S,W,Scientific,Specimens taken from the wild.,Italy,Costa Rica
2017,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,IT,CR,,,17.0,specimens,,S,W,Scientific,Specimens taken from the wild.,Italy,Costa Rica
2017,I,Tapirus bairdii,Mammalia,Perissodactyla,Tapiridae,Tapirus,DE,CR,,,48.0,specimens,,S,W,Scientific,Specimens taken from the wild.,Germany,Costa Rica
2017,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,DE,CR,,,322.0,specimens,,S,W,Scientific,Specimens taken from the wild.,Germany,Costa Rica
2017,I,Encephalartos chimanimaniensis,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,503.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Germany,Costa Rica
2017,I,Encephalartos ferox,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,1.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Germany,Costa Rica
2017,I,Encephalartos gratus,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,180.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Germany,Costa Rica
2017,I,Encephalartos longifolius,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,100.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Germany,Costa Rica
2017,I,Encephalartos natalensis,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,38.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Germany,Costa Rica
2017,I,Encephalartos sclavoi,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,250.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Germany,Costa Rica
2017,I,Encephalartos turneri,,Cycadales,Zamiaceae,Encephalartos,DE,CR,CR,,139.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Germany,Costa Rica
